Clock,Away - Description,Visiting Team Score,Home Team Score,Home - Description,Score,Play,Period,Goalkeeper,Corner Kick Team,Corner Kick Player,Shot Team,Shot Player,Shot Result,Substitution Team,Substitution In,Substitution Out,Goal Team,Goal Scorer,Goal Assister,First Goal
76:12:00,,,,Emory University substitution: Arielle Williamson for Kylie Hall.,,Emory University substitution: Arielle Williamson for Kylie Hall.,2,,,,,,,Emory University,Arielle Williamson,Kylie Hall,,,,False
76:57:00,,,,"Shot by Emory University Natalie Klar, Wide.",,"Shot by Emory University Natalie Klar, Wide.",2,,,,Emory,University Natalie Klar,Wide.,,,,,,,False
77:11:00,,,,Emory University substitution: Caroline Kolski for Natalie Klar.,,Emory University substitution: Caroline Kolski for Natalie Klar.,2,,,,,,,Emory University,Caroline Kolski,Natalie Klar,,,,False
77:11:00,Centre College substitution: Averi Faulk for Taylor Gebhart.,,,,,Centre College substitution: Averi Faulk for Taylor Gebhart.,2,,,,,,,Centre College,Averi Faulk,Taylor Gebhart,,,,False
--,Foul on Centre College.,,,,,Foul on Centre College.,2,,,,,,,,,,,,,False
84:00:00,,,,"Header Shot by Emory University Shivani Beall, Save (by goalie) Jonelle Barron.",,"Header Shot by Emory University Shivani Beall, Save (by goalie) Jonelle Barron.",2,,,,Emory,University Shivani Beall,Save (by goalie) Jonelle Barron.,,,,,,,False
--,Foul on Centre College.,,,,,Foul on Centre College.,2,,,,,,,,,,,,,False
86:14:00,,,,Emory University substitution: Samantha Agnew for Lindsey Breskow.,,Emory University substitution: Samantha Agnew for Lindsey Breskow.,2,,,,,,,Emory University,Samantha Agnew,Lindsey Breskow,,,,False
--,Foul on Centre College.,,,,,Foul on Centre College.,2,,,,,,,,,,,,,False
--,Foul on Centre College.,,,,,Foul on Centre College.,2,,,,,,,,,,,,,False
90:00:00,End of period [90:00].,,,,,End of period [90:00].,2,,,,,,,,,,,,,False
